cod_centro_asignacion,Frequency.2,codes,spanish description,english description,comment
2738,1,1494,17,,
2347,1,1521,12,,
369,1,1608,12,,
375,1,1711,12,,
498,1,1433,17,,
250,1,1267,8,,
778,1,1190,19,,
571,1,1250,22,,
456,1,1566,15,,
2620,1,875,16,,
185,1,1274,6,,
2959,1,988,16,,
142,1,1347,4,,
533,1,1520,24,,
337,1,1049,11,,
639,1,1227,2,,
87,1,1695,2,,
2246,1,1573,15,,
2619,1,1719,1,,
504,1,1245,18,,
769,1,873,13,,
163,1,1467,5,,
79,1,1255,3,,
112,1,983,4,,
409,1,1270,14,,
2646,1,954,16,,
2824,1,1278,2,,
717,1,1038,20,,
1348,1,1276,14,,
550,1,942,21,,
559,1,1318,21,,
402,1,1548,13,,
376,1,1047,12,,
644,1,1640,13,,
481,1,1533,16,,
679,1,1054,4,,
355,1,1517,12,,
338,1,1684,11,,
613,1,1712,3,,
2685,1,886,4,,
666,1,1586,2,,
565,1,1636,21,,
26,1,1514,1,,
318,1,1294,11,,
1567,1,1502,12,,
89,1,1152,2,,
502,1,1409,24,,
398,1,877,13,,
113,1,1004,4,,
683,1,1605,4,,
448,1,1225,14,,
2236,1,1523,15,,
151,1,1725,5,,
429,1,911,14,,
214,1,1097,6,,
1234,1,976,17,,
2200,1,1055,14,,
1200,1,1457,19,,
494,1,1400,17,,
134,1,1128,4,,
956,1,1376,14,,
2340,1,1484,12,,
961,1,1136,11,,
312,1,1144,10,,
131,1,1151,4,,
326,1,1583,11,,
621,1,1360,13,,
425,1,1212,14,,
2737,1,1398,6,,
262,1,1651,8,,
315,1,1028,10,,
