fecha_fin_tratamiento,Frequency.6
2014-03-08,52296.0
2014-07-28,52203.0
2014-09-04,52199.0
2014-03-16,52186.0
2014-04-13,52135.0
2015-12-31,52081.0
2015-05-31,52065.0
2015-05-23,52065.0
2015-05-03,52027.0
2015-10-17,52021.0
2014-01-05,51992.0
2014-08-26,51812.0
2014-07-21,51791.0
2014-09-08,51786.0
2014-12-28,51708.0
2014-12-26,51688.0
2014-08-12,51679.0
2014-03-28,51662.0
2015-11-28,51655.0
2014-03-01,51641.0
2015-11-21,51590.0
2014-03-02,51577.0
2014-07-04,51516.0
2015-11-14,51432.0
2014-09-12,51425.0
2015-12-24,51419.0
2015-12-27,51409.0
2014-07-24,51396.0
2014-07-31,51341.0
2014-11-30,51232.0
2014-10-26,51230.0
2014-05-02,51177.0
2014-07-18,51111.0
2014-12-31,51085.0
2014-09-01,51047.0
2015-05-17,51019.0
2015-09-27,50973.0
2014-07-25,50920.0
2014-09-26,50916.0
2015-11-08,50888.0
2015-06-07,50869.0
2014-09-05,50828.0
2014-11-15,50816.0
2015-10-11,50782.0
2014-11-22,50551.0
2014-02-23,50459.0
2015-05-01,50410.0
2014-05-30,50366.0
2014-08-19,50319.0
2014-04-19,50292.0
2014-03-30,50229.0
2015-04-25,50228.0
2014-09-27,50146.0
2014-08-04,50095.0
2014-05-04,50088.0
2015-11-07,50069.0
2015-06-20,50064.0
2015-10-04,49982.0
2015-12-25,49964.0
2014-03-22,49937.0
2015-10-24,49835.0
2014-10-19,49817.0
2014-01-04,49805.0
2014-05-24,49756.0
2014-11-02,49697.0
2014-11-16,49695.0
2014-10-25,49685.0
2014-04-06,49677.0
2015-10-09,49566.0
2014-11-23,49538.0
2014-04-20,49534.0
2014-12-06,49528.0
2015-10-03,49492.0
2014-08-11,49456.0
2014-08-07,49323.0
2014-06-07,49318.0
2014-06-14,49270.0
2014-05-31,49266.0
2016-01-12,49063.0
2014-11-09,48906.0
2014-10-12,48898.0
2014-04-21,48844.0
2014-08-28,48758.0
2014-10-04,48703.0
2014-12-25,48696.0
2014-08-01,48690.0
2014-08-08,48677.0
2014-08-18,48656.0
2014-12-13,48544.0
2015-12-07,48529.0
2014-05-01,48468.0
2014-08-25,48446.0
2014-10-11,48422.0
2015-05-30,48386.0
2014-11-01,48356.0
2014-05-11,48303.0
2014-11-29,48271.0
2015-12-26,48228.0
2014-04-18,48210.0
2016-01-01,48166.0
2015-07-11,48059.0
2014-06-08,48031.0
2016-01-08,47988.0
2014-12-08,47985.0
2015-10-31,47981.0
2014-11-08,47914.0
2015-06-28,47867.0
2014-12-07,47834.0
2015-09-26,47829.0
2014-04-05,47735.0
2015-05-02,47677.0
2015-05-10,47671.0
2014-06-01,47577.0
2015-06-27,47560.0
2014-01-06,47501.0
2014-05-25,47398.0
2014-10-05,47291.0
2014-04-26,47280.0
2015-12-13,47257.0
2015-06-21,47141.0
2015-09-20,47108.0
2014-09-28,47076.0
2015-04-12,47011.0
2015-09-19,46996.0
2015-07-26,46856.0
2015-12-12,46816.0
2014-08-22,46803.0
2014-06-21,46798.0
2014-08-14,46662.0
2015-07-18,46621.0
2014-12-14,46521.0
2014-06-22,46169.0
2016-01-02,46086.0
2014-09-20,46071.0
2015-09-05,46053.0
2015-07-19,46000.0
2014-08-29,45869.0
2014-06-15,45783.0
2015-08-30,45764.0
2014-05-18,45754.0
2014-06-28,45729.0
2016-01-13,45682.0
2014-07-05,45659.0
2014-10-09,45656.0
2014-12-27,45597.0
2014-05-03,45371.0
2015-07-05,45237.0
2014-07-06,45074.0
2015-07-12,45063.0
2014-03-23,44881.0
2014-09-21,44763.0
2014-10-18,44709.0
2015-07-04,44694.0
2016-01-07,44668.0
2015-08-08,44632.0
2014-08-21,44600.0
2015-08-16,44455.0
2015-09-12,44265.0
2015-09-13,44251.0
2014-07-12,44109.0
2015-08-22,44027.0
2015-07-25,43965.0
2015-08-02,43911.0
2015-08-15,43787.0
2015-09-06,43723.0
2015-08-01,43569.0
2015-08-09,43523.0
2016-01-05,43478.0
2014-08-02,43439.0
2016-01-03,43270.0
2014-07-13,43087.0
2014-07-27,43086.0
2014-09-06,43064.0
2014-08-31,42904.0
2016-01-11,42877.0
2014-08-09,42838.0
2014-08-03,42780.0
2014-09-07,42696.0
2015-08-23,42682.0
2014-07-26,42558.0
2015-08-29,42553.0
2014-08-23,42496.0
2014-06-29,42460.0
2014-09-14,42344.0
2014-07-20,42065.0
2014-08-17,42038.0
2014-08-30,41802.0
2014-08-10,41520.0
2014-05-10,41502.0
2016-01-19,41440.0
2014-08-16,41395.0
2014-04-27,41193.0
2015-10-18,41063.0
2016-01-14,41047.0
2014-07-19,40776.0
2014-09-13,39448.0
2016-01-15,39430.0
2014-08-15,39399.0
2014-05-17,39228.0
