cod_diagnostico,Frequency.4
555.9,14545
379.21,14500
664.11,14492
656.11,14482
515,14451
829.0,14442
569.42,14422
305.00,14416
588.81,14407
465,14401
79.15,14400
575.0,14398
813.41,14390
346.0,14375
V12.72,14341
365.00,14337
V82.81,14331
00043,14250
845,14235
527.2,14207
784.1,14195
873.0,14160
389.22,14153
523,14140
N18.9,14123
600.21,14103
00048,14075
V42.0,14073
372.00,14065
729.82,14064
127.4,14063
628,14000
253.1,13999
648.81,13995
68.12,13929
603.9,13919
625.0,13903
88.73,13900
789.59,13890
90.52,13876
34.91,13852
65.91,13830
930.0,13821
V45.73,13804
491.22,13788
79.35,13782
345,13771
626.9,13732
369.8,13730
00148,13725
88.93,13724
721.0,13714
708.8,13711
696,13679
14.74,13663
698.0,13647
459.9,13626
611.1,13562
494.1,13540
381.01,13508
437.1,13496
727.51,13472
275.0,13463
357.2,13422
733.13,13411
00091,13390
998.11,13374
608.89,13372
788.41,13360
698.2,13325
443.0,13310
959.5,13309
807.00,13290
695.89,13288
715.15,13271
628.8,13270
438.20,13235
366.19,13223
707,13200
39.97,13183
Z79.4,13152
3.3.13,13122
518.4,13110
00102A,13071
V76.51,13069
601.0,13041
574.00,13013
389,13012
V10.46,12995
N17.9,12994
90.01,12988
271.3,12982
370,12969
478.4,12955
63.73,12918
727.00,12897
111.8,12890
464.20,12877
110.3,12829
426.11,12817
447.9,12816
681.11,12815
89.54,12808
816.00,12800
521,12760
824.8,12755
E78.0,12751
89.14,12730
B28013.8,12719
V67.59,12697
436,12687
781.3,12676
V44.3,12668
697.0,12664
281.1,12648
77.54,12627
277.7,12602
155.0,12600
B020ZZZ,12594
724.6,12594
198.3,12584
572.2,12571
696.3,12553
618.01,12549
437.0,12548
825.25,12520
00021,12515
456.21,12491
3E0C3GC,12485
911,12457
659.51,12457
789.07,12451
464.1,12447
477.8,12433
434.0,12418
34.04,12402
99.05,12391
381.4,12358
366.1,12337
282.4,12326
V04.8,12314
V58.9,12313
813.05,12306
648.21,12292
338.3,12290
617.9,12287
355.9,12253
354.2,12235
454.8,12224
I25.9,12202
396.3,12201
Z79.82,12197
250.92,12197
578.0,12175
626,12152
00097,12123
V26.81,12112
576.1,12072
00027,12065
656.81,12064
277.4,12052
491,12037
45.13,12030
53.41,12028
V45.71,12021
648.11,12009
692.70,12009
892.0,11953
V41.0,11937
285.21,11917
726.64,11896
00130,11887
Z88.0,11849
V22.0,11809
494,11800
370.00,11800
991.5,11799
583.81,11781
456.4,11779
53.61,11776
686.00,11775
89.17,11772
I48.2,11762
V54.01,11747
622.7,11735
717.9,11734
285.29,11696
49.46,11684
698,11679
457.1,11674
V68.1,11652
041.49,11646
599.70,11610
B28014.8,11608
302.75,11608
256.31,11591
524.60,11571
33.24,11566
96.70,11541
698.1,11522
788.9,11510
V15.08,11508
68.49,11506
780.96,11502
00098,11488
39.61,11460
451.2,11456
133.0,11455
873.42,11438
795.0,11418
493.9,11417
663.31,11398
790.7,11396
380.1,11363
40.11,11340
272.8,11328
309.4,11304
355.1,11283
799.4,11283
454.1,11283
411,11258
597.80,11258
528.3,11249
610.2,11248
79.36,11245
366.04,11234
60.01,11211
00118,11210
54.21,11204
47.09,11204
V07.39I,11158
787.20,11150
553.8,11136
585.5,11134
786.0,11124
189.0,11118
682.3,11105
685.0,11092
89.50,11085
998.12,11044
041.19,11026
00029,11026
60.29,11021
471.9,11009
00013,11004
G47.33,10996
386,10993
079.4,10964
616.8,10927
30.09,10925
V64.2,10915
805.8,10908
845.1,10892
729.4,10882
813.81,10874
669.51,10868
620.0,10853
50.11,10851
57.32,10848
81.52,10847
732.9,10836
294.9,10818
V72.85,10803
564,10758
370.24,10755
03.31,10749
00083,10741
698.8,10729
799.02,10717
90,10702
Z86.73,10694
346.10,10687
923.10,10686
68.11,10683
443.81,10679
V60.3,10678
788.5,10665
238.2,10664
362.52,10656
793.9,10577
491.0,10576
91.33,10534
041.85,10514
37.83,10512
162.3,10499
590.1,10464
340,10452
520,10447
427.81,10433
616.0,10417
00023,10406
389.05,10406
276.0,10398
V45.72,10391
427.3,10359
51.22,10345
V45.4,10338
98.51,10281
V10.06,10266
60.11,10230
989.5,10228
434.11,10227
250.5,10207
564.00A,10204
726.65,10197
041.04,10191
722,10186
V49.87,10184
717.83,10164
435,10161
389.18,10154
389.06,10147
356.9,10138
682.5,10135
577.1,10109
659.71,10109
51.10,10073
375.20,10055
527.7,10038
695.8,10032
173.3,10015
707.15,9992
153,9979
00024,9975
524.69,9972
959.3,9972
553.9,9956
300,9945
20.04.03,9944
618.4,9929
465.0,9929
96.71,9924
30233N1,9917
182.0,9912
V01.1,9902
88.53,9894
193,9891
20.04,9865
757.9,9865
44.14,9864
00015,9864
319,9855
88.74,9854
052.9,9851
300.3,9836
V45.02,9828
B28014.2,9826
786.03,9825
00003,9823
00103,9807
D64.9,9798
471,9793
722.73,9786
245.2,9761
805.2,9749
88.26,9738
701.4,9736
112.9,9724
00104,9718
426.2,9687
720.0,9627
151.9,9624
296.80,9619
427.6,9604
V05.3,9600
37.72,9590
296.3,9583
199.1,9570
736.73,9570
172.9,9560
691,9539
W19.XXXA,9537
89.59,9535
00120,9535
924.21,9530
00007,9517
232.9,9496
692.71,9483
00051,9483
845.10,9482
